Postalcode,X-Coordinates,Y-Coordinates
327830,30497.4603,33484.9284
757622,25806.7565,48696.3499
129957,20882.5707,32098.8641
458436,38064.4266,33581.1386
768454,28505.3111,44124.4477
168622,28417.8166,29867.7122
544822,34443.1458,40643.6749
519524,39837.6761,39972.6151
518934,42027.1676,39372.7019
518968,42422.9406,39368.8209
529400,40831.1480,37414.9816
536741,33749.1563,36884.2322
536742,33816.8447,36990.7465
319320,30483.1914,35501.1771
597610,21633.0990,35580.9229
797702,33023.4170,41361.5679
129857,20683.5152,33158.5746
556094,32137.0009,37927.0773
575566,27620.7054,38685.4157
768687,27664.0163,44355.3129
468980,37739.7753,34374.1190
688258,19214.5433,40705.3132
649076,12591.9642,36760.6620
649075,12553.9948,36641.3361
529067,39343.4038,37747.9292
569845,29008.7518,40412.8959
659163,17728.1547,36813.7804
828772,35284.1733,42630.0782
538787,34836.9228,40020.0264
828870,36435.5867,42665.6542
828845,36020.1741,43020.2573
128104,19509.8098,32768.6682
738525,22994.5551,47078.5775
149303,25171.3473,30929.3508
148800,25759.9730,30656.5376
149295,24537.5929,31397.5617
276880,22847.2555,32868.1683
259978,27514.8854,32666.0900
575954,29253.9770,36623.6073
469719,39241.7796,35048.9818
689621,18804.0312,41666.9426
649961,14185.0240,36248.8720
237993,28300.5257,30729.7524
737803,24505.9681,47639.0550
738524,22991.6279,46972.6448
545092,35945.8458,41719.9470
555855,32638.8044,39432.8316
649295,15291.4846,36548.7946
138572,21393.3021,32828.4651
227968,29710.4145,31302.6820
757715,26631.5285,47411.1057
757704,26166.5553,47441.1161
545166,35394.8580,41269.1828
545090,35238.8340,40948.4477
797636,32656.2685,41638.6447
555889,32023.5559,39127.5335
534768,33971.1516,38579.5154
534237,35658.8371,39628.0345
649332,15562.2762,36633.0784
609604,17602.8945,35813.3616
739067,22738.0566,46014.1203
739148,21510.0900,47377.1769
519385,39792.0902,40123.8978
309437,27405.4848,33705.0264
309437,27405.4848,33705.0264
737913,23116.5361,45350.9472
688945,19450.3327,40406.3553
737758,24748.4708,46525.8444
544799,34296.3726,41872.9800
529593,38799.0138,36854.6607
357691,31367.3773,35029.1094
359337,31538.7796,34845.6088
359342,31631.1103,34799.6828
469701,40009.9558,35212.9303
469700,40092.5663,35206.0519
659401,18649.0625,38520.5402
556742,31228.3936,36828.7606
556140,32728.6507,36501.7330
467353,39776.9922,33993.0680
528986,39500.1560,36943.4518
579781,30223.6184,37110.2196
309331,29374.6018,33330.3410
228091,29445.1807,31782.2910
259240,25399.4343,33591.9656
429058,37383.9910,32244.7789
455789,37341.6528,33450.7695
198423,30630.5322,31799.6999
659322,18771.7136,38529.1941
529564,41673.7304,37707.0085
529565,40843.4826,38060.3925
529426,40270.0972,36955.7186
529427,40346.9618,36820.2178
127391,19671.3339,32477.4259
439272,34987.7913,32209.2363
437259,35480.2018,31959.8751
438796,35123.8878,32322.1097
469268,38341.5413,33917.7392
569299,29964.8533,38625.8329
688261,19100.4652,40623.3411
688848,19320.8632,40560.6326
479239,36637.7973,34805.9404
469278,39379.2892,33417.9891
469300,40494.7969,33331.1191
465561,40668.0715,33117.0768
659441,18523.0002,37903.5212
569730,30288.3804,38042.2226
688268,18374.1776,42746.2521
689143,18286.6397,42391.0495
449035,37594.6548,32005.3411
448880,38493.9275,32297.1652
757702,26774.5063,48167.7045
649223,13083.6706,36335.8188
679946,20516.9168,41265.3943
677737,19856.9985,41081.9943
677742,19872.7485,40616.0567
649188,13221.7226,36587.4334
648350,13360.3601,37315.2709
519075,42200.4041,38622.2637
579747,29060.3363,37446.4305
738079,23222.6545,46085.8411
738990,23880.8285,45596.0105
738853,23376.4658,46493.6745
738240,24006.7840,46295.2824
738239,24350.0767,46423.6974
739111,21454.2608,46763.1808
538882,34359.7423,37776.2619
649036,11822.0670,36078.0729
538784,33537.9261,39267.5187
538789,33534.6790,39396.1568
768611,28493.7422,46131.5537
556108,31900.0002,36788.0167
689100,18837.4187,42072.9598
538720,33823.1316,39990.3703
569868,28981.3761,39995.0999
768675,27590.0005,45152.6307
768679,28078.8823,46134.2656
768516,27498.7974,45541.0991
768610,28522.2706,46035.6156
469623,38998.9448,35120.4069
618654,15488.8784,36018.0484
609558,17710.4890,36118.9613
649406,15687.9489,36590.8085
529393,41036.7447,37044.8093
658712,19844.0669,36054.6887
538884,34329.6639,37690.7886
169485,27205.1093,29634.6893
679002,20877.0395,40169.1169
677741,20425.1044,41125.3984
556095,32055.7766,38029.9161
556123,32018.8531,36725.5640
