ALL_SCHOOLS,ADDRESS,POSTALCODE,X_COORDINATES,Y_COORDINATES,LATITUDE,LONGTITUDE
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,41766.4978,39385.5959,1.3724209,103.957724
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,29286.0618,37423.9135,1.355193,103.846228
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,28248.4938,34098.448,1.324641,103.83554
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,32548.6952,35134.7421,1.333751,103.874242
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,32693.3769,35313.9771,1.335578,103.876669
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,41295.3217,35838.9878,1.340939,103.952619
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,41228.3856,35819.2295,1.340164,103.951801
CHESTNUT DRIVE SECONDARY SCHOOL,58 CHESTNUT DRIVE,679301,21048.6173,38964.062,1.36867,103.770848
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,36636.4983,32094.7537,1.306931,103.910846
CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,37329.0379,32085.4517,1.306597,103.917751
CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE,558979,31442.3277,37780.9072,1.35732,103.863998
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,35160.3441,39464.2179,1.372971,103.898088
CHIJ OUR LADY QUEEN OF PEACE,4 CHESTNUT DRIVE,679287,20696.8594,38754.7726,1.366297,103.767594
CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH,319765,28949.1537,34994.5346,1.333107,103.841908
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,29107.6704,34962.2642,1.332007,103.842993
CHIJ ST. JOSEPH'S CONVENT,62 SENG KANG EAST WAY,548595,35695.0897,41518.518,1.391747,103.902461
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,28104.0196,39497.6106,1.373744,103.834301
CHONG BOON SECONDARY SCHOOL,2 ANG MO KIO STREET 44,569250,30787.0844,38446.5804,1.363994,103.858355
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,28640.1237,46683.372,1.438563,103.839285
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,41121.6978,36967.7417,1.350835,103.951438
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,23511.7159,45365.0813,1.426395,103.793419
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,17821.8579,39969.5633,1.378056,103.7417229
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845,18936.7295,40571.8261,1.383169,103.7515839
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,34390.0939,31968.0042,1.305368,103.890726
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN ST 61,768547,28445.2214,44503.2444,1.418737,103.837311
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,20180.3232,33121.0532,1.315403,103.763253
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3,129904,20065.2211,33091.2639,1.315501,103.762094
CLEMENTI WOODS SECONDARY SCHOOL,170 WEST COAST ROAD,127443,20409.9733,32049.3238,1.306538,103.765132
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784,18241.9409,33496.5605,1.3192,103.745652
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,35177.29,41816.29,1.39418,103.897901
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083,35403.7461,42003.781,1.396086,103.899711
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,17185.5542,40264.6281,1.380026,103.73625
CORAL PRIMARY SCHOOL,20 PASIR RIS ST 51,518902,41067.8214,38938.047,1.367979,103.9508029
CORAL SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,40904.4082,38793.6122,1.3671009,103.949261
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,14006.5235,37066.2772,1.351499,103.707576
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,26244.4776,30634.2205,1.293338,103.817566
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24,609561,17897.6699,36189.1921,1.343466,103.742462
