ALL_SCHOOLS,ADDRESS,POSTALCODE,X_COORDINATES,Y_COORDINATES,LATITUDE,LONGTITUDE
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1,129957,20882.5707,32098.8641,1.307227,103.769412
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,38064.4266,33581.1386,1.319773,103.923725
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,28505.3111,44124.4477,1.414902,103.83835
OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,28417.8166,29867.7122,1.286507,103.837091
PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW,544822,34443.1458,40643.6749,14.4847751,121.0232414
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,39837.6761,39972.6151,1.377331,103.939371
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,42027.1676,39372.7019,1.372334,103.959377
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,42422.9406,39368.8209,1.372305,103.962479
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21,529400,40831.148,37414.9816,1.354805,103.948043
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,33749.1563,36884.2322,1.351003,103.884813
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,33816.8447,36990.7465,1.3507309,103.885565
PEI CHUN PUBLIC SCHOOL,16 TOA PAYOH LORONG 7,319320,30483.1914,35501.1771,1.337371,103.85482
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,21633.099,35580.9229,1.338081,103.77613
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702,33023.417,41361.5679,1.390273,103.878474
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,20683.5152,33158.5746,1.315889,103.767747
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,32137.0009,37927.0773,1.3587,103.870667
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566,27620.7054,38685.4157,1.36613,103.829903
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,27664.0163,44355.3129,1.417009,103.830256
PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET,468980,37739.7753,34374.119,1.326674,103.920663
PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,19214.5433,40705.3132,1.384627,103.753951
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,12591.9642,36760.662,1.348486,103.694609
PIONEER SECONDARY SCHOOL,21 JURONG WEST STREET 81,649075,12553.9948,36641.3361,1.347373,103.694576
POI CHING SCHOOL,21 TAMPINES STREET 71,529067,39343.4038,37747.9292,1.3582,103.935299
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,29008.7518,40412.8959,1.382254,103.8431
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,17728.1547,36813.7804,1.349481,103.74102
PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK,828772,35284.1733,42630.0782,14.4847751,121.0232414
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,34836.9228,40020.0264,1.37819,103.894746
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,36435.5867,42665.6542,1.402069,103.909443
PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE,828845,36020.1741,43020.2573,1.4052971,103.90518
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,19509.8098,32768.6682,1.312805,103.757141
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,22994.5551,47078.5775,1.442105,103.788557
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,25171.3473,30929.3508,1.296349,103.807958
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800,25759.973,30656.5376,1.293467,103.8128739
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295,24537.5929,31397.5617,1.300681,103.801857
RAFFLES GIRLS' PRIMARY SCHOOL,53 MOUNT SINAI RD,276880,22847.2555,32868.1683,1.313511,103.786552
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD,259978,27514.8854,32666.09,1.31172,103.828974
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE,575954,29253.977,36623.6073,1.345712,103.845871
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3,469719,39241.7796,35048.9818,1.333361,103.934605
REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5,689621,18804.0312,41666.9426,1.393079,103.750966
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE,649961,14185.024,36248.872,1.343172,103.70949
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,28300.5257,30729.7524,1.294206,103.836008
RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT,737803,24505.9681,47639.055,14.4847751,121.0232414
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524,22991.6279,46972.6448,1.44088,103.788728
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,35945.8458,41719.947,1.393196,103.904383
ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4,555855,32638.8044,39432.8316,1.372862,103.874791
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,15291.4846,36548.7946,1.346187,103.718911
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 TECHNOLOGY DRIVE,138572,21393.3021,32828.4651,14.4847751,121.0232414
"SCHOOL OF THE ARTS, SINGAPORE",01 05 1 ZUBIR SAID DRIVE ADMIN OFFICE,227968,29710.4145,31302.682,1.298907,103.84871
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,26631.5285,47411.1057,1.44497,103.820734
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,26166.5553,47441.1161,1.445241,103.816996
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,35394.858,41269.1828,1.3890411,103.8993117
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE,545090,35238.834,40948.4477,1.385933,103.898397
SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD,797636,32656.2685,41638.6447,14.4847751,121.0232414
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889,32023.5559,39127.5335,1.36967,103.868983
SERANGOON JUNIOR COLLEGE,1033 UPPER SERANGOON ROAD,534768,33971.1516,38579.5154,1.365172,103.886996
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW,534237,35658.8371,39628.0345,1.374544,103.902283
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,15562.2762,36633.0784,1.347595,103.7215779
SHUQUN SECONDARY SCHOOL,450 JURONG EAST STREET 21,609604,17602.8945,35813.3616,1.340338,103.739469
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,22738.0566,46014.1203,1.432693,103.78577
SI LING SECONDARY SCHOOL,11 MARSILING LANE,739148,21510.09,47377.1769,1.4447319,103.775019
SIGLAP SECONDARY SCHOOL,10 PASIR RIS DRIVE 10,519385,39792.0902,40123.8978,1.37916,103.939304
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD,309437,27405.4848,33705.0264,1.321253,103.828017
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437,27405.4848,33705.0264,1.321253,103.828017
SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY,737913,23116.5361,45350.9472,1.426703,103.789056
SOUTH VIEW PRIMARY SCHOOL,38 TECK WHYE CRESCENT,688945,19450.3327,40406.3553,1.381679,103.756524
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758,24748.4708,46525.8444,14.4847751,121.0232414
SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK,544799,34296.3726,41872.98,14.4847751,121.0232414
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8,529593,38799.0138,36854.6607,1.349409,103.929982
ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE,357691,31367.3773,35029.1094,1.3332005,103.8631951
ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE,359337,31538.7796,34845.6088,1.331468,103.8652089
ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE,359342,31631.1103,34799.6828,1.331368,103.865853
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,40009.9558,35212.9303,1.334282,103.941072
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,40092.5663,35206.0519,1.334613,103.942216
ST. ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK ST 33,659401,18649.0625,38520.5402,14.4847751,121.0232414
ST. GABRIEL'S PRIMARY SCHOOL,220 LORONG CHUAN,556742,31228.3936,36828.7606,1.349363,103.862358
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140,32728.6507,36501.733,1.346401,103.875825
ST. HILDA'S PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD,467353,39776.9922,33993.068,1.32368,103.938907
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82,528986,39500.156,36943.4518,1.350082,103.936638
ST. JOSEPH'S INSTITUTION,21 BISHAN STREET 14,579781,30223.6184,37110.2196,1.3512439,103.853082
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331,29374.6018,33330.341,1.317267,103.845562
ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091,29445.1807,31782.291,1.304444,103.845851
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240,25399.4343,33591.9656,1.319577,103.809597
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058,37383.991,32244.7789,1.3092299,103.916644
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789,37341.6528,33450.7695,1.3190059,103.917604
STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,30630.5322,31799.6999,1.303878,103.857586
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34,659322,18771.7136,38529.1941,1.364045,103.750416
TAMPINES JUNIOR COLLEGE,2 TAMPINES AVENUE 9,529564,41673.7304,37707.0085,1.357607,103.955857
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,40843.4826,38060.3925,1.360298,103.948581
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,40270.0972,36955.7186,1.349774,103.94402
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12,529427,40346.9618,36820.2178,1.34871,103.944486
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391,19671.3339,32477.4259,1.309698,103.758184
TANJONG KATONG GIRLS' SCHOOL,20 DUNMAN LANE,439272,34987.7913,32209.2363,1.308631,103.895897
TANJONG KATONG PRIMARY SCHOOL,10 SERAYA ROAD,437259,35480.2018,31959.8751,1.305412,103.9003089
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796,35123.8878,32322.1097,1.3086279,103.897257
TAO NAN SCHOOL,2 BEDOK SOUTH ROAD,469268,38341.5413,33917.7392,1.32223,103.92679
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,29964.8533,38625.8329,1.365396,103.8505239
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,19100.4652,40623.3411,1.383126,103.753548
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT,688848,19320.8632,40560.6326,1.382536,103.755214
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,36637.7973,34805.9404,1.331377,103.911059
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,39379.2892,33417.9891,1.3189,103.935561
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,40494.7969,33331.1191,1.317502,103.945488
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD,465561,40668.0715,33117.0768,1.3157589,103.9471669
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,18523.0002,37903.5212,1.359,103.7485279
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,30288.3804,38042.2226,1.359123,103.854452
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,18374.1776,42746.2521,1.403245,103.74729
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143,18286.6397,42391.0495,1.40005,103.746125
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,37594.6548,32005.3411,1.306142,103.919825
VICTORIA SCHOOL,2 SIGLAP LINK,448880,38493.9275,32297.1652,1.308378,103.927638
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,26774.5063,48167.7045,1.452297,103.8219
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223,13083.6706,36335.8188,1.34455,103.698987
WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD,679946,20516.9168,41265.3943,14.4847751,121.0232414
WEST SPRING SECONDARY SCHOOL,61 SENJA ROAD,677737,19856.9985,41081.9943,1.387707,103.760018
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,19872.7485,40616.0567,1.383113,103.760229
WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73,649188,13221.7226,36587.4334,14.4847751,121.0232414
WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25,648350,13360.3601,37315.2709,1.353569,103.701682
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,42200.4041,38622.2637,1.364903,103.961329
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24,579747,29060.3363,37446.4305,1.355497,103.843265
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,23222.6545,46085.8411,1.4332339,103.790306
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990,23880.8285,45596.0105,1.4280679,103.796334
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,23376.4658,46493.6745,1.436771,103.791794
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,24006.784,46295.2824,1.434839,103.797928
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239,24350.0767,46423.6974,1.436147,103.800671
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD,739111,21454.2608,46763.1808,1.439565,103.774208
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,34359.7423,37776.2619,1.357861,103.889918
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,11822.067,36078.0729,1.342223,103.688066
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,33537.9261,39267.5187,1.371069,103.8830289
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8,538789,33534.679,39396.1568,1.372635,103.883077
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,28493.7422,46131.5537,1.433577,103.837571
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,31900.0002,36788.0167,1.348506,103.868407
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64,689100,18837.4187,42072.9598,1.396985,103.751221
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,33823.1316,39990.3703,1.3777919,103.885447
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,28981.3761,39995.0999,1.377635,103.842103
YISHUN JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,27590.0005,45152.6307,1.424637,103.829634
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,28078.8823,46134.2656,1.434101,103.833896
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516,27498.7974,45541.0991,1.428129,103.828833
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21,768610,28522.2706,46035.6156,1.43231,103.837858
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,38998.9448,35120.4069,1.333929,103.932513
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD,618654,15488.8784,36018.0484,1.341917,103.720994
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,17710.489,36118.9613,1.343263,103.740763
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41,649406,15687.9489,36590.8085,1.347026,103.722405
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,41036.7447,37044.8093,1.351484,103.951159
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25,658712,19844.0669,36054.6887,1.342423,103.760309
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884,34329.6639,37690.7886,1.356754,103.890092
ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA,169485,27205.1093,29634.6893,1.284578,103.826193
ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD,679002,20877.0395,40169.1169,1.37957,103.769301
ZHENGHUA SECONDARY SCHOOL,91 SENJA ROAD,677741,20425.1044,41125.3984,1.388271,103.764939
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4,556095,32055.7766,38029.9161,1.359895,103.869558
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123,32018.8531,36725.564,1.3494569,103.869187
