osm_id,name,type
46522845,Park Mall,
46522846,YWCA Fort Canning Lodge,
46522847,Haw Par Centre,
46522848,YMCA,
46529000,Prime Center,
46529012,,
46529040,Sunshine Plaza,
46529046,Fortune Centre,commercial
46538128,The Bencoolen,
46538130,OG Albert Complex,retail
46539540,Burlington Square,
46539542,Rochor Center,
46594815,Ritz Carlton Hotel,hotel
46594816,Mandarin Oriental Hotel,hotel
46594819,Singapore Recreation Club,
46594820,S'pore Cricket Club,
46594821,,
46594824,,
46594825,Supreme Court of Singapore,courthouse
46594826,The Treasury,
46594827,Grand Park City Hall,hotel
46594829,SMRT Headquaters,
46594830,"The Patina, Capitol Building",hotel
46594831,Capitol Piazza,
46594832,Peninsula Plaza,hotel
46595137,Suntec City,
46595138,Conrad Centennial,hotel
46595139,Millenia Walk,
46595145,Suntec Tower 5,
46595146,Suntec Tower 1,
46595147,Suntec Tower 2,
46595148,Suntec Tower 3,
46595384,HSBC Building,
46595385,Tung Centre,
46595390,Asian Civilisation Museum,museum
46595394,One Fullerton,
46595395,The Fullerton Hotel,hotel
46595417,Clifford Centre,
46595418,Singapore Land Tower,
46595597,National Gal­lery Singa­pore,monument
46595601,OUE Bayfront,
46595853,MICA Building,
46612310,Tanglin Place,
46612311,Tanglin Mall,
46612312,Traders Hotel,hotel
46612316,,parking
46612317,Tanglin Shopping Centre,
46612319,Orchard Hotel,hotel
46612322,,
46640106,The Fleming,
46640107,The Faraday,
46640108,Chartered Semi-Conductor,
46640109,DVV Technology,
46640110,PSB Science Park Annex,
46640112,PSB Science Park Bldg,
46648257,,
46649278,AFP Warehouse,
46649287,HPE Alexandra Sales (HPAS),commercial
46649292,,
46649293,Citilink Warehouse Complex,
46649294,Singapore Storage and Warehouse,
46649997,Habourlink,
46650002,,
46650003,,
46650503,The Peak,apartments
46650508,,
46671397,HarbourLights,
46671399,Singapore Cruise Center,
46671403,Marine Deck,
46671404,HarbourFront Centre,
46671408,VivoCity,
46699689,55,
46699695,67,
46703784,513,
46703785,515,
46703786,519,
46703787,517,
46703790,Mount Faber Lodge,
46818479,Prima Tower,
46819591,742-743,
46819592,739-741,
46819597,710,
46819600,744-746,
46819610,216,
46819613,Geyland United FC,
46820918,213,
46820919,,
46820920,419,
46820965,Kampong Chai Chee Community Centre,community_centre
46820966,,
46821373,East Point,
46821376,Eastlink,
46821381,SAFRA Tampines,
46919229,Tanjong Katong Complex,
46919233,City Plaza,
46928499,Thong Teck Home for Senior Citizens,
46928500,SPH,
46928502,Geylang East Public Library,library
46928511,95,
46928512,97,
46928513,93,
46928515,42,
46928519,,food_court
46928520,99,
47037254,Sim Lim Tower,
47037437,Singapore Pools,
47038311,Katong Village,
47038322,,
47069572,Blk 86,
47069573,Parkway Centre,commercial
47069574,,
47126585,Golden Mile Complex,
47126586,Golden Mile Tower,
47126587,St John HQ,
47126588,The Gateway East,
47126589,The Gateway West,
47134068,Golden Landmark,
47134077,Raffles Hospital,hospital
47134090,Parkview Square,
47134161,Concourse Skyline,
47134168,The Concourse,
47134210,Pan Pacific Serviced Suites,
47134224,Parkroyal on Beach Road,hotel
47198835,Tekka Centre,
47198840,Serangoon Plaza,
47198841,Mustafa Centre,
47247812,Shaw Tower,commercial
47248791,Visitor Centre,
47248798,NParks HQ,
47250130,Burkill Hall,
47252180,Raffles Building,
47257430,Sch of Horticulture,
47257466,Singapore Herbarium,
47257486,,
47257587,Plant Resource Centre,
47266915,,
47266916,Eu Tong Sen,
47266917,EJH Conrner,
47266920,,
47298522,,
47298566,Sri Mariamman Multi-purpose Centre,
47298577,Kreta Ayer Community Club,community_centre
47298582,Kreta Ayer People's Theatre,
47298587,Oriental Plaza,
47298610,New Bridge Centre,
47298635,Buddha Tooth Relic Temple,place_of_worship
47298639,Maxwell Road Food Centre,
47298646,Chinatown Complex,
47298653,Majestic,
47298664,Yue Hwa Building,
47298668,OG Building,retail
47298674,Blk 32,
47298679,Lucky Chinatown,
47298686,Central Square,
47298692,Family & Juvenile Court,courthouse
47298696,Merchant Square,
47298734,Ministry of Manpower,
47299042,Fook Hai Building,
47300926,Great Eastern Centre,office
47300929,Marsh & McLennan Centre,
47300930,One George St,
47345000,Golden Shoe,parking
47345002,Bharat Building,
47345003,AIA Tower,commercial
47345004,,
47345005,Ascott Raffles Place,
47345006,One Raffles Quay,
47345007,,
47345009,Capital Tower,
47345011,Tong Eng Building,
47345012,City House,
47345013,Hong Leong Building,
47345018,Robinson Point,
47345019,Ogilvy Centre,
47345020,Shenton House,
47345021,One Shenton,
47345022,Singapore Conference Hall,
47345023,V on Shenton (U/C),
47345024,Unity Tower Two,
47345025,Unity Tower One,
47345026,Robinson Centre,
47345027,OUE Downtown,
47345028,Robinson 77,
47345029,,
47345212,Fuji Xerox Tower,
47345213,GE Tower,
47345214,Keppel Towers,
47345217,Springleaf Tower,
47345219,,
47345220,GB Building,
47345221,Singapore City Gallery,museum
47345222,MND Complex,
47415357,Customs Operation Center,
47415358,,
47415359,RCL Centre,
47415360,Genting Centre,
47415361,Jit Poh Building,
47415362,South Point,
47415363,Inchape Marketing Building,
47415659,Blk 10,
47415660,Blk 8,
